@relation news

@attribute title string
@attribute label {fake,real}

@data
" WATCH: Delusional Trump Fans Lash Out At Fox Host For Reporting Facts Of Uranium One Deal",fake
" Roy Moore Supporting Republican LOSES It After Being Called An Extremist",fake
" That Story Trump Just Told The Press About Obama And Air Force One NEVER Happened",fake
" This 4-Year Old Tweet From Donald Trump Shows Us He's AT LEAST As Perverted As Roy Moore",fake
" OOPS: Trump Judicial Nominee Didn't Tell Congress About Marriage To White House Attorney",fake
" Trump Laughs After Philippine Leader Calls Journalists 'Spies' In Country Where Journalists Are Routinely Murdered",fake
" Watch: Joe Biden Just Wrecked Trump In Six Words And It's Hilarious",fake
" BUSTED: Leaked Documents Prove Trump Took Laundered Money From Russian Bank",fake
" Perverted GOP State Rep. Corners Lobbyistspace Tries To Force Her To Help With His 'Raging B**ner'",fake
" All Of Roy Moore's Former Colleagues Knew He Liked 'Dating' Teenage Girls",fake
" WATCH: Christian Right Founder Condemns Them For Supporting Nazis And Sexual Misconduct",fake
" Conservative 'Christian' Leader Defends Pedophile GOP Candidate Roy Moore",fake
" Trump Throws Intelligence Community Under The Bus To Side With Putin Despite Strong Evidence Of Russian Meddling",fake
" This Old Mike Pence Tweet Sure Is Uncomfortable Now That The G In MAGA Means Grope",fake
" Sean Hannity Just Said Child Molestation Is OK If It's 'Consensual' (VIDEO)",fake
" Newsweek Just Made Their BEST Cover Ever And People Are Freaking Out",fake
" Alabama Republican Just Defended Pedophilia Using The Bible",fake
" GOP Senate Candidate Turns Out To Be A Disgusting Child Molester",fake
" Senate Democrats Have Been Sneaking Around Behind GOP's Back To Unravel Trump Administration",fake
" Sunday's Massacre In Texas Bumped Columbine Out Of The Top Ten Deadliest US Mass Shootings",fake
" Sean Hannity Barely Spends 6 Seconds On Last Night's Drubbing ' Revisits Trump 'Victory' Instead",fake
" Maine Voters Tell Trump To Go F*ck Himselfspace Expand Medicaid Through Obamacare",fake
" WATCH: Rick Santorum Torches Trump For Not Taking Responsibility For Electoral Bloodbath",fake
" Trump Seething After Humiliating Virginia Electionsspace Throws Ed Gillespie Under The Bus",fake
" The Resistance Just Gave Trump A Huge F**CK YOU On Election Night",fake
" Trump's Justice Dept. Realizes Prosecuting Woman For Laughing Is Stupid ' Drops Case Entirely",fake
" Trump Jr. Goes Full Dumba** On Twitter By Promoting Wrong Day Of Virginia Election",fake
" Trump Just Openly Called For A Third World War (VIDEO)",fake
" OOPS: Trump Agrees That People Like Him Should Be Treated 'Harshly' For Milking Their Country",fake
